country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
Netherlands,Rotterdam,Maaszicht (IJsselmonde),http://skyscraperpage.com/diagrams/images/36201.gif,http://skyscraperpage.com/cities/?buildingID=41513,null,1993,15,Building Uses - residential; Structural Types - highrise,"Description
Architect: Architectenbureau Pieter Weeda - Paul van der Weijden

"
Netherlands,Rotterdam,Sunset Boulevard Zuid,http://skyscraperpage.com/diagrams/images/55417.gif,http://skyscraperpage.com/cities/?buildingID=71655,2007,2009,15,"Building Uses - residential - retail; Structural Types - highrise; Architectural Style - modern; Materials - glass - terra cotta - concrete, reinforced","Description
• Architect: De Zwarte Hond.



• Incorporations: Celestian B.V., Sprangers Bouwbedrijf, IMd Raadgevende Ingenieurs, BAM Grondtechniek.

"
Netherlands,Rotterdam,GEB-tower,http://skyscraperpage.com/diagrams/images/32274.gif,http://skyscraperpage.com/cities/?buildingID=8436,1927,1931,15,Building Uses - residential - office; Structural Types - highrise,"Description
architect: WG Witteveen



- Extended with 7 meters by the Germans in WWII.

"
Netherlands,Rotterdam,Maastorenflat,http://skyscraperpage.com/diagrams/images/17781.gif,http://skyscraperpage.com/cities/?buildingID=23586,1955,1956,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - steel - concrete,"Description
Architect:H.D. Bakker

"
Netherlands,Rotterdam,Albert Schweitzer Flat,http://skyscraperpage.com/diagrams/images/53073.gif,http://skyscraperpage.com/cities/?buildingID=77235,null,1970,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,null
Netherlands,Rotterdam,Grienderwaard 202-588,http://skyscraperpage.com/diagrams/images/54505.gif,http://skyscraperpage.com/cities/?buildingID=42193,null,1975,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,null
Netherlands,Rotterdam,Doktoren,http://skyscraperpage.com/diagrams/images/32390.gif,http://skyscraperpage.com/cities/?buildingID=35666,1987,1988,15,Building Uses - residential; Structural Types - highrise,"Description
Architect: van Tilburg en partners

"
Netherlands,Rotterdam,Woongebouw Admiraal de Ruyterweg,http://skyscraperpage.com/diagrams/images/54542.gif,http://skyscraperpage.com/cities/?buildingID=81350,null,1985,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,"Description
Architect: HWST

"
Netherlands,Rotterdam,Westertoren,http://skyscraperpage.com/diagrams/images/50006.gif,http://skyscraperpage.com/cities/?buildingID=42192,null,1996,15,Building Uses - residential; Structural Types - highrise,"Description
Architect:Wytze Patijn (Kuiper Compagnons)

"
Netherlands,Rotterdam,De Leuve,http://skyscraperpage.com/diagrams/images/35339.gif,http://skyscraperpage.com/cities/?buildingID=26071,null,1956,15,Building Uses - office; Structural Types - highrise; Architectural Style - modern,"Description
Architect: Architectenbureau Bakker en Verhoeff

"
Netherlands,Rotterdam,Schiecentrale Fase 4,http://skyscraperpage.com/diagrams/images/54706.gif,http://skyscraperpage.com/cities/?buildingID=76371,2006,2008,15,"Building Uses - residential - office; Structural Types - highrise; Architectural Style - postmodern; Materials - glass - concrete, reinforced - concrete","Description
• Architects: Robert Winkel, Mei Architecten en stedenbouwers BV.



• Incorporations: Proper-Stok Woningen, Woningstichting PWS, Sterner Groep, BOAG BV, Besix.

"
Netherlands,Rotterdam,Stresemann Flat,http://skyscraperpage.com/diagrams/images/53069.gif,http://skyscraperpage.com/cities/?buildingID=77236,null,null,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,null
Netherlands,Rotterdam,Zernikeflat,http://skyscraperpage.com/diagrams/images/53066.gif,http://skyscraperpage.com/cities/?buildingID=77240,null,1972,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,null
Netherlands,Rotterdam,Noorderbaken,http://skyscraperpage.com/diagrams/images/54543.gif,http://skyscraperpage.com/cities/?buildingID=81351,null,2006,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,null
Netherlands,Rotterdam,Max Planckflat,http://skyscraperpage.com/diagrams/images/53071.gif,http://skyscraperpage.com/cities/?buildingID=77242,null,1972,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,null
Netherlands,Rotterdam,Hoge Erf,http://skyscraperpage.com/diagrams/images/54502.gif,http://skyscraperpage.com/cities/?buildingID=37530,2003,2005,15,Building Uses - residential; Structural Types - highrise,"Description
Architect: Kokon Architecten en Ingenieurs

"
Netherlands,Rotterdam,Zonnebaarsstraat 31-109,http://skyscraperpage.com/diagrams/images/54538.gif,http://skyscraperpage.com/cities/?buildingID=81344,null,2004,15,Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - brick - concrete,null
