country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
Australia,Gold Coast,Imperial Surf Apartments,http://skyscraperpage.com/diagrams/images/24967.gif,http://skyscraperpage.com/cities/?buildingID=29382,null,1982,40,"Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - concrete, reinforced",
Australia,Gold Coast,Pivotal Point,http://skyscraperpage.com/diagrams/images/24964.gif,http://skyscraperpage.com/cities/?buildingID=29378,2003,2005,40,"Building Uses - residential; Structural Types - highrise; Architectural Style - modern; Materials - glass - concrete, reinforced",
Australia,Gold Coast,The Oracle - Hinterland Tower,http://skyscraperpage.com/diagrams/images/66084.gif,http://skyscraperpage.com/cities/?buildingID=43198,null,2010,40,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,
Australia,Gold Coast,Sun City,http://skyscraperpage.com/diagrams/images/3885.gif,http://skyscraperpage.com/cities/?buildingID=3887,null,1999,42,Building Uses - residential; Structural Types - highrise; Architectural Style - postmodern,
Australia,Gold Coast,Grand Mariner,http://skyscraperpage.com/diagrams/images/4241.gif,http://skyscraperpage.com/cities/?buildingID=4243,null,1991,43,Building Uses - residential; Structural Types - highrise,"Description
Architect: Hulbert Group International, Inc.

"
Australia,Gold Coast,Peninsula Resort,http://skyscraperpage.com/diagrams/images/1731.gif,http://skyscraperpage.com/cities/?buildingID=1733,null,1982,45,Building Uses - residential; Structural Types - highrise,
Australia,Gold Coast,Circle on Cavill Tower A,http://skyscraperpage.com/diagrams/images/66121.gif,http://skyscraperpage.com/cities/?buildingID=9353,2003,2006,50,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,
Australia,Gold Coast,The Oracle - Beach Tower,http://skyscraperpage.com/diagrams/images/66083.gif,http://skyscraperpage.com/cities/?buildingID=43197,null,2010,50,Building Uses - residential - parking garage; Structural Types - highrise; Architectural Style - modern,
Australia,Gold Coast,Skyline North Tower,http://skyscraperpage.com/diagrams/images/8349.gif,http://skyscraperpage.com/cities/?buildingID=3438,2002,2004,50,Building Uses - residential; Structural Types - highrise; Architectural Style - modern,
Australia,Gold Coast,Hilton Surfers Hotel & Residences - Orchid Tower,http://skyscraperpage.com/diagrams/images/66106.gif,http://skyscraperpage.com/cities/?buildingID=68594,2007,2011,57,Building Uses - mixed use - hotel - parking garage - residential - restaurant - retail; Structural Types - highrise; Architectural Style - futurism,"Description
• Architect: DBI Design (Pty Ltd).

"
Australia,Gold Coast,Circle on Cavill - North Tower,http://skyscraperpage.com/diagrams/images/66120.gif,http://skyscraperpage.com/cities/?buildingID=4414,2004,2007,70,Building Uses - residential - parking garage - fitness center; Structural Types - highrise; Architectural Style - modern,"Description
- Architect: Atelier SDG

"
Australia,Gold Coast,Soul,http://skyscraperpage.com/diagrams/images/39175.gif,http://skyscraperpage.com/cities/?buildingID=30037,2007,2012,77,Building Uses - residential - parking garage - restaurant; Structural Types - highrise; Architectural Style - futurism,
