country,city,name,img,building_page-href,date_start,date_end,floors,tags,description
Thailand,Bangkok,Sathorn Square Office,http://skyscraperpage.com/diagrams/images/66176.gif,http://skyscraperpage.com/cities/?buildingID=3282,null,2011,41,Building Uses - office - parking garage; Structural Types - highrise,"Description
• Architect: P & T Group	

• Structural engineer: Warnes Associates Company Limited

"
Thailand,Bangkok,Exchange Center,http://skyscraperpage.com/diagrams/images/45126.gif,http://skyscraperpage.com/cities/?buildingID=36892,1997,2004,42,Building Uses - office - retail; Structural Types - highrise; Architectural Style - postmodern,
Thailand,Bangkok,Paholyothin Place,http://skyscraperpage.com/diagrams/images/4720.gif,http://skyscraperpage.com/cities/?buildingID=4722,null,1993,42,Building Uses - residential; Structural Types - highrise,"Description
Architect: Creative Design Co. Ltd.

"
Thailand,Bangkok,AIA Tower @ Capital Market Center,http://skyscraperpage.com/diagrams/images/88286.gif,http://skyscraperpage.com/cities/?buildingID=15356,2012,2014,42,Building Uses - office - parking garage - retail; Structural Types - highrise; Architectural Style - modern,null
Thailand,Bangkok,Vanit Tower 2,http://skyscraperpage.com/diagrams/images/28322.gif,http://skyscraperpage.com/cities/?buildingID=2421,1992,1994,42,Building Uses - office; Structural Types - highrise; Architectural Style - postmodern,"Description
Architect: Plan Architects Co.

"
Thailand,Bangkok,MDX Tower,http://skyscraperpage.com/diagrams/images/40390.gif,http://skyscraperpage.com/cities/?buildingID=37645,null,2006,42,Building Uses - mixed use - office - residential - retail; Structural Types - highrise; Architectural Style - postmodern,null
Thailand,Bangkok,Kasikorn Bank Head Office,http://skyscraperpage.com/diagrams/images/25789.gif,http://skyscraperpage.com/cities/?buildingID=297,null,1995,42,Building Uses - office; Structural Types - highrise; Architectural Style - postmodern,"Description
Architect: Design 103 International

"
Thailand,Bangkok,The Emporio Place East Tower,http://skyscraperpage.com/diagrams/images/59988.gif,http://skyscraperpage.com/cities/?buildingID=73446,2006,2009,42,Building Uses - residential; Structural Types - highrise,null
Thailand,Bangkok,Saichol Mansion 1 & 2,http://skyscraperpage.com/diagrams/images/5156.gif,http://skyscraperpage.com/cities/?buildingID=5158,null,1997,42,Building Uses - residential; Structural Types - highrise,null
Thailand,Bangkok,Skulthai Surawong Tower,http://skyscraperpage.com/diagrams/images/57506.gif,http://skyscraperpage.com/cities/?buildingID=37678,null,null,42,Building Uses - office; Structural Types - highrise,null
Thailand,Bangkok,Baiyoke Tower I,http://skyscraperpage.com/diagrams/images/77973.gif,http://skyscraperpage.com/cities/?buildingID=3112,null,1987,43,Building Uses - hotel; Structural Types - highrise; Architectural Style - postmodern,"Description
- Architect: Plan Architects



- Baiyoke Tower I was the tallest building in Thailand from 1987 to 1993. 



- The building has a sky lounge restaurant and bar on the 43th floor.

"
