country,city,name,img,building_page-href,date_start,date_end,floors,tags,developer
United States,Chicago,K2 at K Station,../skyscraperpage.com/diagrams/images/73364.gif,http://skyscraperpage.com/cities/?buildingID=98938,2011,2013,34,Building Uses - residential - parking garage: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,LaSalle-Monroe Building,../skyscraperpage.com/diagrams/images/40892.gif,http://skyscraperpage.com/cities/?buildingID=48287,null,1894,14,Building Uses - office: Structural Types - highrise: Architectural Style - beaux arts: Materials - glass - steel,
United States,Chicago,Winston Tower V,../skyscraperpage.com/diagrams/images/57192.gif,http://skyscraperpage.com/cities/?buildingID=52707,null,1972,14,Building Uses - residential: Structural Types - highrise: Architectural Style - modern: Materials - glass - concrete: reinforced,
United States,Chicago,CNN Realtors Building,../skyscraperpage.com/diagrams/images/13472.gif,http://skyscraperpage.com/cities/?buildingID=10058,null,1963,13,Building Uses - office: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,1110 North Lake Shore Drive,../skyscraperpage.com/diagrams/images/37016.gif,http://skyscraperpage.com/cities/?buildingID=42676,1968,1970,40,Building Uses - residential: Structural Types - highrise: Architectural Style - modern: Materials - concrete,
United States,Chicago,Polo Tower,../skyscraperpage.com/diagrams/images/46561.gif,http://skyscraperpage.com/cities/?buildingID=53108,null,1951,16,Building Uses - residential: Structural Types - highrise,
United States,Chicago,Winston Tower IV,../skyscraperpage.com/diagrams/images/57190.gif,http://skyscraperpage.com/cities/?buildingID=52709,null,1969,16,Building Uses - residential: Structural Types - highrise: Architectural Style - modern: Materials - glass - concrete: reinforced,
United States,Chicago,Winston Tower II,../skyscraperpage.com/diagrams/images/57195.gif,http://skyscraperpage.com/cities/?buildingID=52711,null,1966,14,Building Uses - residential: Structural Types - highrise: Architectural Style - modern: Materials - glass - concrete: reinforced,
United States,Chicago,Willis Tower,../skyscraperpage.com/diagrams/images/64991.gif,http://skyscraperpage.com/cities/?buildingID=5,1970,1974,108,Building Uses - office - communication - observation: Structural Types - highrise - tube: Architectural Style - international: Materials - glass - steel - aluminium - concrete: reinforced,
United States,Chicago,John Hancock Center,../skyscraperpage.com/diagrams/images/64992.gif,http://skyscraperpage.com/cities/?buildingID=17,1965,1969,100,Building Uses - mixed use - communication - observation - office - parking garage - residential - restaurant: Structural Types - highrise - cross brace: Architectural Style - international: Materials - glass - steel,
United States,Chicago,Trump International Hotel & Tower Chicago,../skyscraperpage.com/diagrams/images/85151.gif,http://skyscraperpage.com/cities/?buildingID=16,2005,2009,98,Building Uses - mixed use - garden - hotel - parking garage - residential - restaurant - retail - fitness center: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - concrete: reinforced,
United States,Chicago,Wanda Vista,../skyscraperpage.com/diagrams/images/77682.gif,http://skyscraperpage.com/cities/?buildingID=103808,2016,null,93,Building Uses - mixed use - hotel - parking garage - residential - restaurant - retail - fitness center: Structural Types - highrise: Architectural Style - structural expressionism,
United States,Chicago,Aon Center,../skyscraperpage.com/diagrams/images/63802.gif,http://skyscraperpage.com/cities/?buildingID=31,1970,1973,83,Building Uses - office - parking garage - restaurant - retail: Structural Types - highrise: Architectural Style - international: Materials - steel - granite,
United States,Chicago,Franklin Center,../skyscraperpage.com/diagrams/images/70521.gif,http://skyscraperpage.com/cities/?buildingID=37,1987,1989,60,Building Uses - office - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - granite,
United States,Chicago,Two Prudential Plaza,../skyscraperpage.com/diagrams/images/32857.gif,http://skyscraperpage.com/cities/?buildingID=32,1988,1990,64,Building Uses - office: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - granite,
United States,Chicago,311 South Wacker,../skyscraperpage.com/diagrams/images/55575.gif,http://skyscraperpage.com/cities/?buildingID=33,1988,1990,65,Building Uses - office - mechanical - restaurant - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - granite - concrete,
United States,Chicago,One Prudential Plaza,../skyscraperpage.com/diagrams/images/64797.gif,http://skyscraperpage.com/cities/?buildingID=3799,1952,1955,41,Building Uses - office - communication - parking garage - restaurant - station: Structural Types - highrise - pole: Architectural Style - international - modern: Materials - glass - limestone - concrete: reinforced,
United States,Chicago,One Grant Park,../skyscraperpage.com/diagrams/images/88848.gif,http://skyscraperpage.com/cities/?buildingID=106826,2017,null,76,Building Uses - residential - parking garage - retail: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,900 North Michigan,../skyscraperpage.com/diagrams/images/42316.gif,http://skyscraperpage.com/cities/?buildingID=161,1987,1989,66,Building Uses - mixed use - hotel - office - parking garage - residential - restaurant - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - limestone,
United States,Chicago,Aqua,../skyscraperpage.com/diagrams/images/61448.gif,http://skyscraperpage.com/cities/?buildingID=46482,2007,2009,86,Building Uses - mixed use - hotel - office - parking garage - residential - restaurant - retail: Structural Types - highrise: Architectural Style - modern: Materials - glass - concrete,
United States,Chicago,Water Tower Place,../skyscraperpage.com/diagrams/images/77416.gif,http://skyscraperpage.com/cities/?buildingID=43,1972,1976,74,Building Uses - mixed use - hotel - office - parking garage - residential - restaurant - retail - cinema: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - marble - concrete: reinforced,
United States,Chicago,Chase Tower,../skyscraperpage.com/diagrams/images/26961.gif,http://skyscraperpage.com/cities/?buildingID=44,1966,1969,60,Building Uses - office: Structural Types - highrise: Architectural Style - international: Materials - steel - granite - concrete,
United States,Chicago,Park Tower,../skyscraperpage.com/diagrams/images/58470.gif,http://skyscraperpage.com/cities/?buildingID=45,1998,2000,67,Building Uses - mixed use - hotel - parking garage - residential - restaurant - retail: Structural Types - highrise - tuned mass damper: Architectural Style - postmodern: Materials - concrete,
United States,Chicago,One Bennett Park,../skyscraperpage.com/diagrams/images/86875.gif,http://skyscraperpage.com/cities/?buildingID=103897,2016,null,67,Building Uses - residential - parking garage - retail: Structural Types - highrise: Architectural Style - art deco - postmodern,
